"","cost","ci_lower","ci_upper"
"own",133764472.302505,145952455.018817,121576489.586193
"matdis",50046815.203632,58603215.406147,41490415.001117
"bond",5921901.92194488,7111265.7766054,4732538.06728436
"illchild",285513.450562912,495608.695162096,75418.2059637284
"illspouse",965284.463617459,1405121.0512435,525447.875991419
"illparent",605993.727417615,1064508.68665353,147478.768181695
"total",191589981.06968,206417163.19843,176762798.94093
